amazon-order-id	merchant-order-id	purchase-date	last-updated-date	order-status	fulfillment-channel	sales-channel	order-channel	url	ship-service-level	product-name	sku	asin	item-status	quantity	currency	item-price	item-tax	shipping-price	shipping-tax	gift-wrap-price	gift-wrap-tax	item-promotion-discount	ship-promotion-discount	ship-city	ship-state	ship-postal-code	ship-country	promotion-ids	is-business-order	purchase-order-number	price-designation	fulfilled-by	is-sold-by-ab 
171-7704961-3123565	171-7704961-3123565	2019-12-31T17:10:41+00:00	2020-01-03T10:00:56+00:00	Shipped	Amazon	Amazon.in			Standard	Pashmoda- Women's Kaani Wool Shawl, Luxury Pashmina Shawls, Stoles & Wraps (Light Pashmina Colour)	RS-S-04-BEIGE	B07TLHF1DP	Shipped	1	INR	2495.0		20.0					20.0	PHULPUR ALLAHABAD DISTRICT	UTTAR PRADESH	212402	IN	IN Core Free Shipping 2015/04/08 23-48-5-108	false				false
171-4670760-9294767		2019-12-31T16:55:10+00:00	2020-01-04T06:02:19+00:00	Shipped - Delivered to Buyer	Merchant	Amazon.in			Standard	Pashmoda- 100% Pure Wool Shawl with Self Design and Embroidery, Luxury Paisley Design Pure Merino Wool Shawl (Black)	SEC-S-01-BLACK	B07V46S8MH	Shipped	1	INR	2995.0	320.89							sahibabad Ghaziabad	U P	201005	IN	Amazon PLCC Free-Financing Universal Merchant AAT-U25UE4NDXS7G4,Amazon PLCC Free-Financing Universal Merchant AAT-BELFIPXD6ZYKQ,Amazon PLCC Free-Financing Universal Merchant AAT-4GPGKQ46ASP5I,Amazon PLCC Free-Financing Universal Merchant AAT-ILO7FVAXJANOO,Amazon PLCC Free-Financing Universal Merchant AAT-4R53JBBKYREYI,Amazon PLCC Free-Financing Universal Merchant AAT-5DPIGFFQIJLU2,Amazon PLCC Free-Financing Universal Merchant AAT-333ZSL5EUZ7TQ	false			Easy Ship	false
403-5758251-7624316		2019-12-31T15:06:47+00:00	2020-01-05T03:59:52+00:00	Shipped - Delivered to Buyer	Merchant	Amazon.in			Standard	Pashmoda Women's Checkered Pattern, Luxury Australian Merino Wool Scarf/Stole (Brown)	SEC-ST-03-BROWN	B07TX9VQLF	Shipped	1	INR	1395.0	149.46							AHMEDABAD	GUJARAT	380015	IN	Amazon PLCC Free-Financing Universal Merchant #MP-pmilan-1567764681414,Amazon PLCC Free-Financing Universal Merchant AAT-U25UE4NDXS7G4,Amazon PLCC Free-Financing Universal Merchant AAT-BELFIPXD6ZYKQ,Amazon PLCC Free-Financing Universal Merchant AAT-5VHHSTSCBXDQS,Amazon PLCC Free-Financing Universal Merchant AAT-4GPGKQ46ASP5I,Amazon PLCC Free-Financing Universal Merchant AAT-ILO7FVAXJANOO,Amazon PLCC Free-Financing Universal Merchant AAT-4R53JBBKYREYI,Amazon PLCC Free-Financing Universal Merchant AAT-5DPIGFFQIJLU2,Amazon PLCC Free-Financing Universal Merchant AAT-333ZSL5EUZ7TQ	false			Easy Ship	false
171-0625989-7041927	171-0625989-7041927	2019-12-31T14:22:18+00:00	2020-01-01T08:34:12+00:00	Shipped	Amazon	Amazon.in			Standard	Pashmoda- Women's Kaani Wool Shawl, Luxury Pashmina Shawls, Stoles & Wraps (Light Pashmina Colour)	RS-S-04-BEIGE	B07TLHF1DP	Shipped	1	INR	2495.0		40.0					40.0	Pune	Maharashtra	411004	IN	IN Core Free Shipping 2015/04/08 23-48-5-108	false				false
408-2890716-9277159		2019-12-31T14:15:03+00:00	2020-01-06T04:27:05+00:00	Shipped - Delivered to Buyer	Merchant	Amazon.in			Standard	Pashmoda Women's Wool Stole with Heavy Embroidery Jaal (Beige, Free Size)	SEC-ST-07-BEIGE	B07V1HNNHP	Shipped	1	INR	2195.0	235.18							PUNE	MAHARASHTRA	411057	IN	Amazon PLCC Free-Financing Universal Merchant AAT-U25UE4NDXS7G4,Amazon PLCC Free-Financing Universal Merchant AAT-BELFIPXD6ZYKQ,Amazon PLCC Free-Financing Universal Merchant AAT-4GPGKQ46ASP5I,Amazon PLCC Free-Financing Universal Merchant AAT-ILO7FVAXJANOO,Amazon PLCC Free-Financing Universal Merchant AAT-4R53JBBKYREYI,Amazon PLCC Free-Financing Universal Merchant AAT-5DPIGFFQIJLU2,Amazon PLCC Free-Financing Universal Merchant AAT-333ZSL5EUZ7TQ	false			Easy Ship	false
406-5037309-6019565	406-5037309-6019565	2019-12-31T13:40:18+00:00	2020-01-01T11:44:29+00:00	Shipped	Amazon	Amazon.in			Standard	Pashmoda- Women's Black Faux Pashmina Wool Kashmiri Design Shawl, Jacquard (Black)	RS-S-01-BLACK	B07TVFFPRB	Shipped	1	INR	995.0								PALIA KALAN	UTTAR PRADESH	262904	IN	IN Core Free Shipping 2015/04/08 23-48-5-108	false				false
406-7273899-4645934	406-7273899-4645934	2019-12-31T13:34:04+00:00	2019-12-31T13:36:36+00:00	Cancelled	Amazon	Amazon.in			Standard	Pashmoda- Women's Black Faux Pashmina Wool Kashmiri Design Shawl, Jacquard (Black)	RS-S-01-BLACK	B07TVFFPRB	Cancelled	0										PALIA KALAN	UTTAR PRADESH	262904	IN		false				false
402-1743610-8965105		2019-12-31T12:55:39+00:00	2020-01-06T06:04:48+00:00	Shipped - Delivered to Buyer	Merchant	Amazon.in			Standard	Pashmoda- Women's Viscose Stole with Heavy Aari Embroidery, Scarves, Stoles (Black)	SEC-ST-08-BLACK	B07V1JG5RW	Shipped	1	INR	1195.0	128.04							Naviumbai	MAHARASHTRA	410210	IN	Amazon PLCC Free-Financing Universal Merchant #MP-pmilan-1567764681414,Amazon PLCC Free-Financing Universal Merchant AAT-U25UE4NDXS7G4,Amazon PLCC Free-Financing Universal Merchant AAT-BELFIPXD6ZYKQ,Amazon PLCC Free-Financing Universal Merchant AAT-5VHHSTSCBXDQS,Amazon PLCC Free-Financing Universal Merchant AAT-4GPGKQ46ASP5I,Amazon PLCC Free-Financing Universal Merchant AAT-ILO7FVAXJANOO,Amazon PLCC Free-Financing Universal Merchant AAT-4R53JBBKYREYI,Amazon PLCC Free-Financing Universal Merchant AAT-5DPIGFFQIJLU2,Amazon PLCC Free-Financing Universal Merchant AAT-333ZSL5EUZ7TQ	false			Easy Ship	false
406-6208272-1747529	406-6208272-1747529	2019-12-31T12:54:20+00:00	2020-01-01T04:40:12+00:00	Shipped	Amazon	Amazon.in			Standard	Pashmoda- Women's Black Faux Pashmina Wool Kashmiri Design Shawl, Jacquard (Black)	RS-S-01-BLACK	B07TVFFPRB	Shipped	1	INR	995.0		40.0					40.0	PUNE	MAHARASHTRA	411057	IN	IN Core Free Shipping 2015/04/08 23-48-5-108	false				false
404-1153032-4547517	404-1153032-4547517	2019-12-31T11:54:40+00:00	2020-01-01T12:02:29+00:00	Cancelled	Amazon	Amazon.in			Standard	Pashmoda- Women's Faux Pashmina Wool Kashmiri Design Jamavar Shawl, Warm and Soft texture, Jacquard Border (Beige)	ZE-D0L7-UIUA	B07TJJGZ3L	Unshipped	1	INR	1095.0								BADE BACHELI	CHHATTISGARH	494553	IN		false				false
