amazon-order-id	merchant-order-id	purchase-date	last-updated-date	order-status	fulfillment-channel	sales-channel	order-channel	url	ship-service-level	product-name	sku	asin	item-status	quantity	currency	item-price	item-tax	shipping-price	shipping-tax	gift-wrap-price	gift-wrap-tax	item-promotion-discount	ship-promotion-discount	ship-city	ship-state	ship-postal-code	ship-country	promotion-ids	is-business-order	purchase-order-number	price-designation	fulfilled-by	is-sold-by-ab 
407-9213400-2475561	407-9213400-2475561	2020-02-29T14:07:39+00:00	2020-03-02T08:08:07+00:00	Shipped	Amazon	Amazon.in			Standard	Pashmoda- Women's Kaani Wool Shawl, Luxury Pashmina Shawls, Stoles & Wraps (Light Pashmina Colour)	RS-S-04-BEIGE	B07TLHF1DP	Shipped	1	INR	2495.0				30.0				Maihar	MADHYA PRADESH	485773	IN	IN Core Free Shipping 2015/04/08 23-48-5-108	false				false
403-3044906-3276362		2020-02-29T13:46:01+00:00	2020-03-05T04:47:02+00:00	Shipped - Delivered to Buyer	Merchant	Amazon.in			Standard	Pashmoda Women's Kaani Weave Kashmiri Striped Shawl | Pashmina Wool Shawls | Women Shawl (Size 40x80 Inch) (Grey)	ERS_S_011-Grey	B07XSKZNDG	Shipped	1	INR	1995.0	213.75							NEW DELHI	DELHI	110015	IN	Amazon PLCC Free-Financing Universal Merchant AAT-U25UE4NDXS7G4,Amazon PLCC Free-Financing Universal Merchant AAT-BELFIPXD6ZYKQ,Amazon PLCC Free-Financing Universal Merchant #MP-gzasho-1576488556702,Amazon PLCC Free-Financing Universal Merchant AAT-3XYFH22Z4X4FW,Amazon PLCC Free-Financing Universal Merchant AAT-GLJGS4QYLSPTI,Amazon PLCC Free-Financing Universal Merchant AAT-TNN2ILTYJVAMG,Amazon PLCC Free-Financing Universal Merchant AAT-CQ3HIF7GKSHRS,Amazon PLCC Free-Financing Universal Merchant AAT-4DSBSMPPOSHSC	false			Easy Ship	false
408-1626088-9437943		2020-02-28T19:29:16+00:00	2020-03-05T07:34:03+00:00	Shipped - Delivered to Buyer	Merchant	Amazon.in			Standard	Pashmoda Women's Kashmiri Aari Embroidery Stole | Luxury Heritage Kashmiri Stoles |Women Scarves | Women Stole (Size 28x80 Inch)	ERS_S_018-Red	B07XSF43FQ	Shipped	1	INR	1295.0	138.75							NAZIRA	ASSAM	785685	IN	Amazon PLCC Free-Financing Universal Merchant AAT-U25UE4NDXS7G4,Amazon PLCC Free-Financing Universal Merchant AAT-BELFIPXD6ZYKQ,Amazon PLCC Free-Financing Universal Merchant #MP-gzasho-1576488556702,Amazon PLCC Free-Financing Universal Merchant AAT-3XYFH22Z4X4FW,Amazon PLCC Free-Financing Universal Merchant AAT-GLJGS4QYLSPTI,Amazon PLCC Free-Financing Universal Merchant AAT-TNN2ILTYJVAMG,Amazon PLCC Free-Financing Universal Merchant AAT-CQ3HIF7GKSHRS,Amazon PLCC Free-Financing Universal Merchant AAT-4DSBSMPPOSHSC	false			Easy Ship	false
S02-0630452-0181058	Xk2sdog914	2020-02-28T13:25:00+00:00	2020-03-04T17:32:49+00:00	Shipped	Amazon	Non-Amazon			Standard	Pashmoda- Women's Kaani Pashmina Wool Shawl, Warm and Smooth Texture, Luxury Kashmiri Shawls, Stoles & Wraps (Black)	RS-S-04-BLACK	B07TWX85LG	Unshipped	1										Ludhiana	Punjab	141008	IN		false				false
407-7805129-3812311	407-7805129-3812311	2020-02-28T07:36:06+00:00	2020-02-28T16:23:48+00:00	Shipped	Amazon	Amazon.in			Standard	Pashmoda- Women's Faux Pashmina Wool Kashmiri Design Shawl(SIZE: 40X80 Inches) (Black)	RS-S-01-BLACK	B07TVFFPRB	Shipped	1	INR	995.0		20.0					20.0	HOWRAH	WEST BENGAL	711102	IN	IN Core Free Shipping 2015/04/08 23-48-5-108	false				false
404-0128943-9737133	404-0128943-9737133	2020-02-28T06:27:02+00:00	2020-02-29T08:26:42+00:00	Shipped	Amazon	Amazon.in			Standard	Pashmoda- Women's Viscose Check Scarf, Stole, Wrap (Multicolour- Grey)	8Z-4Q6N-P3E5	B07TP2CLTB	Shipped	1	INR	575.0								MUMBAI	MAHARASHTRA	400018	IN		false				false
406-2853959-3617139	406-2853959-3617139	2020-02-28T05:41:24+00:00	2020-02-28T08:32:14+00:00	Shipped	Amazon	Amazon.in			Expedited	Pashmoda- Women's Faux Pashmina Wool Kashmiri Design Shawl(SIZE: 40X80 Inches) (Black)	RS-S-01-BLACK	B07TVFFPRB	Shipped	1	INR	995.0								NEW DELHI	DELHI	110017	IN		false				false
405-6135658-6180314	405-6135658-6180314	2020-02-28T04:21:18+00:00	2020-02-28T09:13:56+00:00	Shipped	Amazon	Amazon.in			Standard	Pashmoda- Women's Faux Pashmina Wool Kashmiri Design Shawl(SIZE: 40X80 Inches) (Black)	RS-S-01-BLACK	B07TVFFPRB	Shipped	1	INR	995.0								AHMEDABAD	GUJARAT	380006	IN		false				false
404-2788195-7664314	404-2788195-7664314	2020-02-28T02:11:23+00:00	2020-02-28T10:12:48+00:00	Shipped	Amazon	Amazon.in			Standard	Pashmoda- Women's Faux Pashmina Wool Kashmiri Design Shawl(SIZE: 40X80 Inches) (Black)	RS-S-01-BLACK	B07TVFFPRB	Shipped	1	INR	995.0		20.0					20.0	Auroville,  VANUR TK, VILLUPURAM distr	TAMIL NADU	605101	IN	IN Core Free Shipping 2015/04/08 23-48-5-108	false				false
171-3625278-1979505		2020-02-27T21:12:56+00:00	2020-03-03T06:36:03+00:00	Shipped - Delivered to Buyer	Merchant	Amazon.in			Standard	Pashmoda Women's Aari Embroidered Wool Blend Kashmiri Shawls || Women Stole (40x80 Inches)	ERS_S_04-Multi02	B07XN46V21	Shipped	1	INR	2095.0	224.46							JAUNPUR	UTTAR PRADESH	222001	IN	Amazon PLCC Free-Financing Universal Merchant #MP-pmilan-1567764681414,Amazon PLCC Free-Financing Universal Merchant AAT-U25UE4NDXS7G4,Amazon PLCC Free-Financing Universal Merchant AAT-BELFIPXD6ZYKQ,Amazon PLCC Free-Financing Universal Merchant #MP-gzasho-1576488556702,Amazon PLCC Free-Financing Universal Merchant AAT-3XYFH22Z4X4FW,Amazon PLCC Free-Financing Universal Merchant AAT-GLJGS4QYLSPTI,Amazon PLCC Free-Financing Universal Merchant AAT-TNN2ILTYJVAMG,Amazon PLCC Free-Financing Universal Merchant AAT-CQ3HIF7GKSHRS,Amazon PLCC Free-Financing Universal Merchant AAT-4DSBSMPPOSHSC	false			Easy Ship	false
