amazon-order-id	merchant-order-id	purchase-date	last-updated-date	order-status	fulfillment-channel	sales-channel	order-channel	url	ship-service-level	product-name	sku	asin	item-status	quantity	currency	item-price	item-tax	shipping-price	shipping-tax	gift-wrap-price	gift-wrap-tax	item-promotion-discount	ship-promotion-discount	ship-city	ship-state	ship-postal-code	ship-country	promotion-ids	is-business-order	purchase-order-number	price-designation	fulfilled-by	is-sold-by-ab 
404-4028572-2796324	404-4028572-2796324	2020-07-29T18:51:13+00:00	2020-07-29T18:54:10+00:00	Pending	Amazon	Amazon.in			Expedited	Pashmoda- Women's Faux Pashmina Wool Kashmiri Design Shawl(SIZE: 40X80 Inches) (Black)	RS-S-01-BLACK	B07TVFFPRB	Unshipped	1	INR	995.0								KOLLAM	KERALA	691560	IN	IN Core Free Shipping 2015/04/08 23-48-5-108	false				false
405-0612570-6869161		2020-07-29T17:30:27+00:00	2020-07-29T18:00:18+00:00	Pending	Merchant	Amazon.in			Standard	Pashmoda Women's Kashmiri Aari Embroidery Stole | Luxury Heritage Kashmiri Stoles |Women Scarves | Women Stole (Size 28x80 Inch)	ERS_S_018-Red	B07XSF43FQ	Unshipped	1	INR	1295.0	138.75							KANGRA	HIMACHAL PRADESH	176081	IN	Amazon PLCC Free-Financing Universal Merchant AAT-U25UE4NDXS7G4,Amazon PLCC Free-Financing Universal Merchant AAT-BELFIPXD6ZYKQ,Amazon PLCC Free-Financing Universal Merchant AAT-4DSBSMPPOSHSC,Amazon PLCC Free-Financing Universal Merchant AAT-BRSZZ45H6MHAO,Amazon PLCC Free-Financing Universal Merchant AAT-MKLXOOZWQL7GO,Amazon PLCC Free-Financing Universal Merchant AAT-CB7UNXEXGIJTC,Amazon PLCC Free-Financing Universal Merchant AAT-QNQKBZN4LHZ4A,Amazon PLCC Free-Financing Universal Merchant #MP-gzasho-1593152694811,Amazon PLCC Free-Financing Universal Merchant #MP-gzasho-1593153526875,Amazon PLCC Free-Financing Universal Merchant AAT-GCYUKAEUWDM3Y,Amazon PLCC Free-Financing Universal Merchant AAT-GFFN42ASBCVS2,Amazon PLCC Free-Financing Universal Merchant AAT-5DVJKCBNDKCAM,Amazon PLCC Free-Financing Universal Merchant AAT-WLBA4GZ52EAH4,Amazon PLCC Free-Financing Universal Merchant AAT-6KPCBC6MGNADI,Amazon PLCC Free-Financing Universal Merchant #MP-pmilan-1593842341206,Amazon PLCC Free-Financing Universal Merchant AAT-TLPNB2LA43D54,Amazon PLCC Free-Financing Universal Merchant AAT-OVIZKUEI4CM2S	false			Easy Ship	false
404-4328574-6069903		2020-07-29T14:01:58+00:00	2020-07-29T14:27:48+00:00	Pending	Merchant	Amazon.in			Standard	Pashmoda Women's Kashmiri Aari Embroidery Stole | Luxury Heritage Kashmiri Stoles |Women Scarves | Women Stole (Size 28x80 Inch)	ERS_S_018-Red	B07XSF43FQ	Unshipped	1	INR	1295.0	138.75							JODHPUR	RAJASTHAN	342024	IN	Amazon PLCC Free-Financing Universal Merchant #MP-pmilan-1567764681414,Amazon PLCC Free-Financing Universal Merchant AAT-U25UE4NDXS7G4,Amazon PLCC Free-Financing Universal Merchant AAT-BELFIPXD6ZYKQ,Amazon PLCC Free-Financing Universal Merchant AAT-4DSBSMPPOSHSC,Amazon PLCC Free-Financing Universal Merchant AAT-BRSZZ45H6MHAO,Amazon PLCC Free-Financing Universal Merchant AAT-MKLXOOZWQL7GO,Amazon PLCC Free-Financing Universal Merchant AAT-CB7UNXEXGIJTC,Amazon PLCC Free-Financing Universal Merchant #MP-gzasho-1593152694811,Amazon PLCC Free-Financing Universal Merchant #MP-gzasho-1593153526875,Amazon PLCC Free-Financing Universal Merchant AAT-WLBA4GZ52EAH4,Amazon PLCC Free-Financing Universal Merchant AAT-6KPCBC6MGNADI,Amazon PLCC Free-Financing Universal Merchant #MP-pmilan-1593842341206,Amazon PLCC Free-Financing Universal Merchant AAT-OVIZKUEI4CM2S	false			Easy Ship	false
403-4854883-2777913		2020-07-29T10:20:10+00:00	2020-07-29T10:49:19+00:00	Pending	Merchant	Amazon.in			Standard	Pashmoda- Women's Kaani Wool Shawl, Luxury Pashmina Shawls, Stoles & Wraps (White)	RS-S-04-WHITE	B0812ZFQ4N	Unshipped	1	INR	2495.0	267.32							BENGALURU	KARNATAKA	560029	IN	Amazon PLCC Free-Financing Universal Merchant #MP-pmilan-1567764681414,Amazon PLCC Free-Financing Universal Merchant AAT-U25UE4NDXS7G4,Amazon PLCC Free-Financing Universal Merchant AAT-BELFIPXD6ZYKQ,Amazon PLCC Free-Financing Universal Merchant AAT-4DSBSMPPOSHSC,Amazon PLCC Free-Financing Universal Merchant AAT-TNYBHEAO7HOHO,Amazon PLCC Free-Financing Universal Merchant AAT-BRSZZ45H6MHAO,Amazon PLCC Free-Financing Universal Merchant AAT-MKLXOOZWQL7GO,Amazon PLCC Free-Financing Universal Merchant AAT-CB7UNXEXGIJTC,Amazon PLCC Free-Financing Universal Merchant #MP-gzasho-1593152694811,Amazon PLCC Free-Financing Universal Merchant #MP-gzasho-1593153526875,Amazon PLCC Free-Financing Universal Merchant AAT-WLBA4GZ52EAH4,Amazon PLCC Free-Financing Universal Merchant AAT-6KPCBC6MGNADI,Amazon PLCC Free-Financing Universal Merchant #MP-pmilan-1593842341206,Amazon PLCC Free-Financing Universal Merchant AAT-OVIZKUEI4CM2S	false			Easy Ship	false
404-5571014-6689121		2020-07-29T03:08:25+00:00	2020-07-29T07:17:13+00:00	Shipped - Picked Up	Merchant	Amazon.in			Standard	Pashmoda Women's Kashmiri Aari Embroidery Stole | Luxury Heritage Kashmiri Stoles |Women Scarves | Women Stole (Size 28x80 Inch) (Navy Blue)	ERS_S_018-Navy Blue	B07XSGY1GM	Shipped	1	INR	1295.0	138.75							UDAIPUR	RAJASTHAN	313001	IN	Amazon PLCC Free-Financing Universal Merchant #MP-pmilan-1567764681414,Amazon PLCC Free-Financing Universal Merchant AAT-U25UE4NDXS7G4,Amazon PLCC Free-Financing Universal Merchant AAT-BELFIPXD6ZYKQ,Amazon PLCC Free-Financing Universal Merchant AAT-4DSBSMPPOSHSC,Amazon PLCC Free-Financing Universal Merchant AAT-TNYBHEAO7HOHO,Amazon PLCC Free-Financing Universal Merchant AAT-BRSZZ45H6MHAO,Amazon PLCC Free-Financing Universal Merchant AAT-MKLXOOZWQL7GO,Amazon PLCC Free-Financing Universal Merchant AAT-CB7UNXEXGIJTC,Amazon PLCC Free-Financing Universal Merchant #MP-gzasho-1593152694811,Amazon PLCC Free-Financing Universal Merchant #MP-gzasho-1593153526875,Amazon PLCC Free-Financing Universal Merchant AAT-WLBA4GZ52EAH4,Amazon PLCC Free-Financing Universal Merchant AAT-6KPCBC6MGNADI,Amazon PLCC Free-Financing Universal Merchant #MP-pmilan-1593842341206,Amazon PLCC Free-Financing Universal Merchant AAT-OVIZKUEI4CM2S	false			Easy Ship	false
405-9563503-7383543	405-9563503-7383543	2020-07-29T02:49:48+00:00	2020-07-29T05:24:23+00:00	Shipped	Amazon	Amazon.in			Expedited	Pashmoda Women's Australian Merino Woollen Heavy Embroidery Jaal Luxury Stole (self, Black, Free Size)	SEC-ST-07-BLACK	B07V1JBPG8	Shipped	1	INR	2195.0								Gurugram	Haryana	122018	IN		false				false
404-3304672-0908332		2020-07-28T17:18:22+00:00	2020-07-28T21:21:04+00:00	Cancelled	Merchant	Amazon.in			Standard	Pashmoda Women's Kashmiri Aari Embroidery Stole | Luxury Heritage Kashmiri Stoles |Women Scarves | Women Stole (Size 28x80 Inch) (Navy Blue)	ERS_S_018-Navy Blue	B07XSGY1GM		0	INR	1156.25	138.75							UDAIPUR	RAJASTHAN	313001	IN		false			Easy Ship	false
404-9016502-0471530		2020-07-28T16:26:58+00:00	2020-07-29T07:06:08+00:00	Shipped - Picked Up	Merchant	Amazon.in			Standard	Pashmoda Women's Kashmiri Aari Embroidery Stole | Luxury Heritage Kashmiri Stoles |Women Scarves | Women Stole (Size 28x80 Inch) (Navy Blue)	ERS_S_018-Navy Blue	B07XSGY1GM	Shipped	1	INR	1295.0	138.75							JAIPUR	RAJASTHAN	302019	IN	Amazon PLCC Free-Financing Universal Merchant #MP-pmilan-1567764681414,Amazon PLCC Free-Financing Universal Merchant AAT-U25UE4NDXS7G4,Amazon PLCC Free-Financing Universal Merchant AAT-BELFIPXD6ZYKQ,Amazon PLCC Free-Financing Universal Merchant AAT-4DSBSMPPOSHSC,Amazon PLCC Free-Financing Universal Merchant AAT-TNYBHEAO7HOHO,Amazon PLCC Free-Financing Universal Merchant AAT-BRSZZ45H6MHAO,Amazon PLCC Free-Financing Universal Merchant AAT-MKLXOOZWQL7GO,Amazon PLCC Free-Financing Universal Merchant AAT-CB7UNXEXGIJTC,Amazon PLCC Free-Financing Universal Merchant #MP-gzasho-1593152694811,Amazon PLCC Free-Financing Universal Merchant #MP-gzasho-1593153526875,Amazon PLCC Free-Financing Universal Merchant AAT-WLBA4GZ52EAH4,Amazon PLCC Free-Financing Universal Merchant AAT-6KPCBC6MGNADI,Amazon PLCC Free-Financing Universal Merchant #MP-pmilan-1593842341206,Amazon PLCC Free-Financing Universal Merchant AAT-OVIZKUEI4CM2S	false			Easy Ship	false
407-2305480-1058765		2020-07-28T16:23:19+00:00	2020-07-29T07:05:49+00:00	Shipped - Picked Up	Merchant	Amazon.in			Standard	Pashmoda- Women's Kaani Wool Shawl, Luxury Pashmina Shawls, Stoles & Wraps (Light Pashmina Colour)	RS-S-04-BEIGE	B07TLHF1DP	Shipped	1	INR	2195.0	235.18							NEW Delhi	DELHI	110017	IN	Amazon PLCC Free-Financing Universal Merchant #MP-pmilan-1567764681414,Amazon PLCC Free-Financing Universal Merchant AAT-U25UE4NDXS7G4,Amazon PLCC Free-Financing Universal Merchant AAT-BELFIPXD6ZYKQ,Amazon PLCC Free-Financing Universal Merchant AAT-4DSBSMPPOSHSC,Amazon PLCC Free-Financing Universal Merchant AAT-BRSZZ45H6MHAO,Amazon PLCC Free-Financing Universal Merchant AAT-MKLXOOZWQL7GO,Amazon PLCC Free-Financing Universal Merchant AAT-CB7UNXEXGIJTC,Amazon PLCC Free-Financing Universal Merchant #MP-gzasho-1593152694811,Amazon PLCC Free-Financing Universal Merchant #MP-gzasho-1593153526875,Amazon PLCC Free-Financing Universal Merchant AAT-WLBA4GZ52EAH4,Amazon PLCC Free-Financing Universal Merchant AAT-6KPCBC6MGNADI,Amazon PLCC Free-Financing Universal Merchant #MP-pmilan-1593842341206,Amazon PLCC Free-Financing Universal Merchant AAT-OVIZKUEI4CM2S	false			Easy Ship	false
405-8065494-1205941		2020-07-28T15:44:14+00:00	2020-07-29T07:05:46+00:00	Shipped - Picked Up	Merchant	Amazon.in			Standard	Pashmoda Women's Kashmiri Aari Embroidery Stole | Luxury Heritage Kashmiri Stoles |Women Scarves | Women Stole (Size 28x80 Inch)	ERS_S_019-Blue	B07XSN5BJN	Shipped	1	INR	1195.0	128.04							BENGALURU	KARNATAKA	560043	IN	Amazon PLCC Free-Financing Universal Merchant AAT-U25UE4NDXS7G4,Amazon PLCC Free-Financing Universal Merchant AAT-BELFIPXD6ZYKQ,Amazon PLCC Free-Financing Universal Merchant AAT-4DSBSMPPOSHSC,Amazon PLCC Free-Financing Universal Merchant AAT-BRSZZ45H6MHAO,Amazon PLCC Free-Financing Universal Merchant AAT-MKLXOOZWQL7GO,Amazon PLCC Free-Financing Universal Merchant AAT-CB7UNXEXGIJTC,Amazon PLCC Free-Financing Universal Merchant AAT-QNQKBZN4LHZ4A,Amazon PLCC Free-Financing Universal Merchant #MP-gzasho-1593152694811,Amazon PLCC Free-Financing Universal Merchant #MP-gzasho-1593153526875,Amazon PLCC Free-Financing Universal Merchant AAT-GCYUKAEUWDM3Y,Amazon PLCC Free-Financing Universal Merchant AAT-GFFN42ASBCVS2,Amazon PLCC Free-Financing Universal Merchant AAT-5DVJKCBNDKCAM,Amazon PLCC Free-Financing Universal Merchant AAT-WLBA4GZ52EAH4,Amazon PLCC Free-Financing Universal Merchant AAT-6KPCBC6MGNADI,Amazon PLCC Free-Financing Universal Merchant #MP-pmilan-1593842341206,Amazon PLCC Free-Financing Universal Merchant AAT-TLPNB2LA43D54,Amazon PLCC Free-Financing Universal Merchant AAT-OVIZKUEI4CM2S	false			Easy Ship	false
