amazon-order-id	merchant-order-id	purchase-date	last-updated-date	order-status	fulfillment-channel	sales-channel	order-channel	url	ship-service-level	product-name	sku	asin	item-status	quantity	currency	item-price	item-tax	shipping-price	shipping-tax	gift-wrap-price	gift-wrap-tax	item-promotion-discount	ship-promotion-discount	ship-city	ship-state	ship-postal-code	ship-country	promotion-ids	is-business-order	purchase-order-number	price-designation	fulfilled-by	is-sold-by-ab 
406-0745563-8609919	406-0745563-8609919	2020-06-28T19:06:07+00:00	2020-06-29T00:18:46+00:00	Shipped	Amazon	Amazon.in			Expedited	Pashmoda Women's Australian Merino Woollen Heavy Embroidery Jaal Luxury Stole (self, Black, Free Size)	SEC-ST-07-BLACK	B07V1JBPG8	Shipped	1	INR	2195.0								Tanalur	KERALA	676307	IN	IN Core Free Shipping 2015/04/08 23-48-5-108	false				false
S02-8057924-4166933	Xk6sfyr940	2020-06-28T15:34:33+00:00	2020-07-03T09:43:28+00:00	Shipped	Amazon	Non-Amazon			Standard	Pashmoda- Women's Kaani Pashmina Wool Shawl, Warm and Smooth Texture, Luxury Kashmiri Shawls, Stoles & Wraps (Black)	RS-S-04-BLACK	B07TWX85LG	Unshipped	1										Ludhiana	Punjab	141008	IN		false				false
403-9747068-9746761	403-9747068-9746761	2020-06-27T19:25:25+00:00	2020-06-29T04:27:48+00:00	Shipped	Amazon	Amazon.in			Expedited	Pashmoda- Women's Kaani Paisley and Floral Stole, Kashmiri Design Blended Wool Scarves, Stoles (Yellow)	SEC-ST-06-YELLOW	B07V1W52JG	Shipped	1	INR	1795.0				30.0				MYSURU	KARNATAKA	570023	IN	IN Core Free Shipping 2015/04/08 23-48-5-108	false				false
403-9747068-9746761	403-9747068-9746761	2020-06-27T19:25:25+00:00	2020-06-29T04:27:48+00:00	Shipped	Amazon	Amazon.in			Expedited	Pashmoda- Women's Kaani Paisley and Floral Stole, Kashmiri Design Blended Wool Scarves, Stoles (White)	sk_kaani_stole_1	B07TZKDPSB	Shipped	1	INR	1795.0				30.0				MYSURU	KARNATAKA	570023	IN	IN Core Free Shipping 2015/04/08 23-48-5-108	false				false
402-7712604-9829151	402-7712604-9829151	2020-06-27T14:40:28+00:00	2020-06-27T21:07:05+00:00	Shipped	Amazon	Amazon.in			Expedited	Pashmoda- Women's Kaani Wool Shawl, Luxury Pashmina Shawls, Stoles & Wraps (Light Pashmina Colour)	RS-S-04-BEIGE	B07TLHF1DP	Shipped	2	INR	4390.0								BENGALURU	KARNATAKA	560008	IN	IN Core Free Shipping 2015/04/08 23-48-5-108	true				false
405-0388810-6795558	405-0388810-6795558	2020-06-27T12:45:40+00:00	2020-06-29T17:47:32+00:00	Shipped	Amazon	Amazon.in			Expedited	Pashmoda- Women's Faux Pashmina Wool Kashmiri Design Shawl(SIZE: 40X80 Inches) (Black)	RS-S-01-BLACK	B07TVFFPRB	Shipped	1	INR	995.0		20.0					20.0	PUNE	MAHARASHTRA	411045	IN	IN Core Free Shipping 2015/04/08 23-48-5-108	false				false
405-5623597-2500307		2020-06-27T12:09:02+00:00	2020-07-05T05:04:40+00:00	Shipped - Delivered to Buyer	Merchant	Amazon.in			Standard	Pashmoda Women's 100% Pure Wool Print and Aari Embroidery Shawl, Luxury Kashmiri Shawls and Stoles, The Woolmark Company Certified (Size: 40x80 Inches	IS-S-10-WHITE	B07ZKD768M	Shipped	1	INR	3795.0	406.61							KOLKATA	WEST BENGAL	700063	IN	Amazon PLCC Free-Financing Universal Merchant AAT-U25UE4NDXS7G4,Amazon PLCC Free-Financing Universal Merchant AAT-BELFIPXD6ZYKQ,Amazon PLCC Free-Financing Universal Merchant AAT-YXPS2BLYAYRUG,Amazon PLCC Free-Financing Universal Merchant AAT-4SZZQEJWWRECQ,Amazon PLCC Free-Financing Universal Merchant AAT-4DSBSMPPOSHSC,Amazon PLCC Free-Financing Universal Merchant AAT-BRSZZ45H6MHAO,Amazon PLCC Free-Financing Universal Merchant AAT-K4VHPST4VI4NO,Amazon PLCC Free-Financing Universal Merchant AAT-MKLXOOZWQL7GO,Amazon PLCC Free-Financing Universal Merchant AAT-D7QJBNVDSVZ3W,Amazon PLCC Free-Financing Universal Merchant AAT-PTRYZGVJOX2TC,Amazon PLCC Free-Financing Universal Merchant AAT-FZ37PD4RUVJX4,Amazon PLCC Free-Financing Universal Merchant AAT-AQONT367UGNNQ,Amazon PLCC Free-Financing Universal Merchant AAT-7R6FO2FJU75L6,Amazon PLCC Free-Financing Universal Merchant AAT-ZQJCSPFKDZWVU,Amazon PLCC Free-Financing Universal Merchant AAT-HHTPYX5O27M5O,Amazon PLCC Free-Financing Universal Merchant AAT-CB7UNXEXGIJTC,Amazon PLCC Free-Financing Universal Merchant #MP-gzasho-1593089099709,Amazon PLCC Free-Financing Universal Merchant #MP-gzasho-1593152694811,Amazon PLCC Free-Financing Universal Merchant #MP-gzasho-1593153292797,Amazon PLCC Free-Financing Universal Merchant #MP-gzasho-1593153526875,Amazon PLCC Free-Financing Universal Merchant AAT-G4TTB7MIO25A6	false			Easy Ship	false
404-5770400-8362709	404-5770400-8362709	2020-06-27T10:16:37+00:00	2020-06-28T10:51:06+00:00	Shipped	Amazon	Amazon.in			Expedited	Pashmoda- Women's Faux Pashmina Wool Kashmiri Design Shawl(SIZE: 40X80 Inches) (Black)	RS-S-01-BLACK	B07TVFFPRB	Shipped	1	INR	995.0								HYDERABAD	TELANGANA	500027	IN	IN Core Free Shipping 2015/04/08 23-48-5-108	false				false
171-6402128-4207520	171-6402128-4207520	2020-06-27T10:07:58+00:00	2020-06-27T14:08:18+00:00	Cancelled	Amazon	Amazon.in			Expedited	Pashmoda- Women's Faux Pashmina Wool Kashmiri Design Shawl(SIZE: 40X80 Inches) (Black)	RS-S-01-BLACK	B07TVFFPRB	Unshipped	1	INR	995.0								HYDERABAD	TELANGANA	500027	IN		false				false
406-7122118-3506718		2020-06-26T14:46:05+00:00	2020-06-27T10:14:48+00:00	Cancelled	Merchant	Amazon.in			Standard	Pashmoda- Women's Faux Pashmina Wool Kashmiri Design Shawl(SIZE: 40X80 Inches) (Brown)	RS-S-01-BROWN	B07TNNTC93		0	INR	947.62	47.38	77.0	3.67					HYDERABAD	TELANGANA	500027	IN		false			Easy Ship	false
