amazon-order-id	merchant-order-id	purchase-date	last-updated-date	order-status	fulfillment-channel	sales-channel	order-channel	url	ship-service-level	product-name	sku	asin	item-status	quantity	currency	item-price	item-tax	shipping-price	shipping-tax	gift-wrap-price	gift-wrap-tax	item-promotion-discount	ship-promotion-discount	ship-city	ship-state	ship-postal-code	ship-country	promotion-ids	is-business-order	purchase-order-number	price-designation	fulfilled-by	is-sold-by-ab 
403-0178843-5133117		2020-03-24T08:08:01+00:00	2020-04-04T01:44:23+00:00	Cancelled	Merchant	Amazon.in			Standard	Pashmoda Women's Pure Wool Certified by The Woolmark Company Printed Stole (Yellow, Size: 28x80 Inches)	IS-ST-08-YELLOW	B07ZKJX2D4		0	INR	1781.25	213.75							KODUR	KERALA	676503	IN		false			Easy Ship	false
406-5277378-0174763	406-5277378-0174763	2020-03-23T03:21:46+00:00	2020-03-28T20:07:55+00:00	Cancelled	Amazon	Amazon.in			Standard	Pashmoda Women's 100% Pure Wool Kashmiri Aari Embroidery Stole, Luxury Australian Merino Wool Pashmina Stole | Women Stole (Size 28x80 Inch) (Black)	ERS_S_05-Black	B07XSJ1KF1	Cancelled	0										LUNGLEI	MIZORAM	796701	IN	IN Core Free Shipping 2015/04/08 23-48-5-108	false				false
S02-9568896-5681636	Xk3mciX756	2020-03-22T12:19:51+00:00	2020-05-07T04:39:56+00:00	Shipped	Amazon	Non-Amazon			Standard	Pashmoda- Women's Kaani Wool Shawl, Luxury Pashmina Shawls, Stoles & Wraps (Light Pashmina Colour)	RS-S-04-BEIGE	B07TLHF1DP	Unshipped	1										Ludhiana	Punjab	141008	IN		false				false
171-6507164-6826747		2020-03-22T09:39:26+00:00	2020-04-04T01:14:14+00:00	Cancelled	Merchant	Amazon.in			Standard	Pashmoda- Women's Kaani Wool Shawl, Luxury Pashmina Shawls, Stoles & Wraps (Red)	RS-S-04-RED	B081Q5CSYM		0	INR	2227.68	267.32							SILCHAR	ASSAM	788001	IN		false			Easy Ship	false
403-6728575-5230721	403-6728575-5230721	2020-03-22T06:56:12+00:00	2020-03-28T20:06:22+00:00	Cancelled	Amazon	Amazon.in			Standard	Pashmoda Women's Australian Merino Woollen Heavy Embroidery Jaal Luxury Stole (self, Black, Free Size)	SEC-ST-07-BLACK	B07V1JBPG8	Cancelled	0										RANCHI	JHARKHAND	834005	IN	IN Core Free Shipping 2015/04/08 23-48-5-108	false				false
407-6488335-7355529	407-6488335-7355529	2020-03-22T05:04:27+00:00	2020-05-21T07:57:46+00:00	Shipped	Amazon	Amazon.in			Expedited	Pashmoda- Women's Faux Pashmina Wool Kashmiri Design Shawl(SIZE: 40X80 Inches) (Black)	RS-S-01-BLACK	B07TVFFPRB	Shipped	1	INR	995.0				30.0				NEW DELHI	DELHI	110003	IN		false				false
403-2106588-0632361		2020-03-21T17:54:55+00:00	2020-04-04T01:55:15+00:00	Cancelled	Merchant	Amazon.in			Standard	Pashmoda Women's Wool Heavy Embroidery Jaal Luxury Australian Merino Stole (self, Beige)	SEC-ST-04-BEIGE	B07TZKDTXH		0	INR	2227.68	267.32							DURGAPUR	WEST BENGAL	713212	IN		false			Easy Ship	false
403-9724556-8406764		2020-03-18T12:22:31+00:00	2020-03-21T05:47:22+00:00	Shipped - Delivered to Buyer	Merchant	Amazon.in			Standard	Pashmoda Women's 100% Pure Wool Print and Aari Embroidery Shawl, Luxury Kashmiri Shawls and Stoles, The Woolmark Company Certified (Size: 40x80 Inches	IS-S-10-BLACK	B07ZKCJJ1F	Shipped	1	INR	3795.0	406.61							Faridabad	HARYANA	121002	IN	Amazon PLCC Free-Financing Universal Merchant #MP-pmilan-1567764681414,Amazon PLCC Free-Financing Universal Merchant AAT-U25UE4NDXS7G4,Amazon PLCC Free-Financing Universal Merchant AAT-BELFIPXD6ZYKQ,Amazon PLCC Free-Financing Universal Merchant AAT-YXPS2BLYAYRUG,Amazon PLCC Free-Financing Universal Merchant AAT-4SZZQEJWWRECQ,Amazon PLCC Free-Financing Universal Merchant #MP-gzasho-1576488556702,Amazon PLCC Free-Financing Universal Merchant AAT-DXOUB6BBKUIHK,Amazon PLCC Free-Financing Universal Merchant AAT-GLJGS4QYLSPTI,Amazon PLCC Free-Financing Universal Merchant AAT-4DSBSMPPOSHSC,Amazon PLCC Free-Financing Universal Merchant #MP-pmilan-1583910216953,Amazon PLCC Free-Financing Universal Merchant AAT-G3H63ZV722M74,Amazon PLCC Free-Financing Universal Merchant AAT-LTOWZQMHF62KU	false			Easy Ship	false
402-2892438-0538706		2020-03-16T03:06:45+00:00	2020-03-21T03:26:06+00:00	Shipped - Delivered to Buyer	Merchant	Amazon.in			Standard	Pashmoda Womens Kashmiri Hand Embroidery Shawl, Faux Pashmina Shawls and Stoles (Size: 40x80 Inches)	IS-S-06-BLACK	B07ZKCWWQL	Shipped	1	INR	1995.0	213.75							SITARGANJ	UTTARAKHAND	262405	IN	Amazon PLCC Free-Financing Universal Merchant AAT-U25UE4NDXS7G4,Amazon PLCC Free-Financing Universal Merchant AAT-BELFIPXD6ZYKQ,Amazon PLCC Free-Financing Universal Merchant #MP-gzasho-1576488556702,Amazon PLCC Free-Financing Universal Merchant AAT-DXOUB6BBKUIHK,Amazon PLCC Free-Financing Universal Merchant AAT-GLJGS4QYLSPTI,Amazon PLCC Free-Financing Universal Merchant AAT-4DSBSMPPOSHSC,Amazon PLCC Free-Financing Universal Merchant AAT-MWW5V3BCSQAT2,Amazon PLCC Free-Financing Universal Merchant #MP-pmilan-1583910216953,Amazon PLCC Free-Financing Universal Merchant AAT-G3H63ZV722M74,Amazon PLCC Free-Financing Universal Merchant AAT-LTOWZQMHF62KU	false			Easy Ship	false
S02-4362684-9030660	Xk3fcoL793	2020-03-15T12:25:47+00:00	2020-03-20T09:52:58+00:00	Shipped	Amazon	Non-Amazon			Standard	Pashmoda- Women's Kaani Pashmina Wool Shawl, Warm and Smooth Texture, Luxury Kashmiri Shawls, Stoles & Wraps (Black)	RS-S-04-BLACK	B07TWX85LG	Unshipped	4										Ludhiana	Punjab	141008	IN		false				false
407-5862657-3802715	407-5862657-3802715	2020-03-14T08:43:19+00:00	2020-03-14T13:28:57+00:00	Shipped	Amazon	Amazon.in			Standard	Pashmoda Women's Wool Stole with Heavy Embroidery Jaal (Beige, Free Size)	SEC-ST-07-BEIGE	B07V1HNNHP	Shipped	1	INR	2195.0		13.34					13.34	Tuibong	MANIPUR	795128	IN	IN Core Free Shipping 2015/04/08 23-48-5-108	false				false
408-5556389-7195561		2020-03-13T13:24:04+00:00	2020-03-16T05:14:58+00:00	Shipped - Delivered to Buyer	Merchant	Amazon.in			Standard	Pashmoda- Women's Viscose Stole with Heavy Aari Embroidery, Scarves, Stoles (Navy Blue)	SEC-ST-08-BLUE	B07TZKDVXM	Shipped	1	INR	1195.0	128.04							GURUGRAM	HARYANA	122017	IN	Amazon PLCC Free-Financing Universal Merchant AAT-U25UE4NDXS7G4,Amazon PLCC Free-Financing Universal Merchant AAT-BELFIPXD6ZYKQ,Amazon PLCC Free-Financing Universal Merchant #MP-gzasho-1576488556702,Amazon PLCC Free-Financing Universal Merchant AAT-DXOUB6BBKUIHK,Amazon PLCC Free-Financing Universal Merchant AAT-GLJGS4QYLSPTI,Amazon PLCC Free-Financing Universal Merchant AAT-4DSBSMPPOSHSC,Amazon PLCC Free-Financing Universal Merchant AAT-LTBFGTFUOWCHK,Amazon PLCC Free-Financing Universal Merchant AAT-GF7L5ZPN7A5TI,Amazon PLCC Free-Financing Universal Merchant #MP-pmilan-1583910216953	false			Easy Ship	false
404-6411021-0058705	404-6411021-0058705	2020-03-13T10:49:26+00:00	2020-03-14T05:22:36+00:00	Shipped	Amazon	Amazon.in			Standard	Pashmoda Women's Australian Merino Woollen Heavy Embroidery Jaal Luxury Stole (self, Black, Free Size)	SEC-ST-07-BLACK	B07V1JBPG8	Shipped	1	INR	2195.0		40.0					40.0	BHUBANESWAR	ODISHA	751003	IN	IN Core Free Shipping 2015/04/08 23-48-5-108	false				false
