amazon-order-id	merchant-order-id	purchase-date	last-updated-date	order-status	fulfillment-channel	sales-channel	order-channel	url	ship-service-level	product-name	sku	asin	item-status	quantity	currency	item-price	item-tax	shipping-price	shipping-tax	gift-wrap-price	gift-wrap-tax	item-promotion-discount	ship-promotion-discount	ship-city	ship-state	ship-postal-code	ship-country	promotion-ids	is-business-order	purchase-order-number	price-designation	fulfilled-by	is-sold-by-ab 
404-1672322-9382744		2019-11-30T18:15:30+00:00	2019-12-06T06:42:08+00:00	Shipped - Delivered to Buyer	Merchant	Amazon.in			Standard	Pashmoda- Women's Viscose Stole, Floral Pattern (Sea Green)	RS-ST-04-GREEN	B07TSQNDSV	Shipped	1	INR	575.0	27.38	77.0	3.67					VADODARA	GUJARAT	390023	IN	Amazon PLCC Free-Financing Universal Merchant AAT-U25UE4NDXS7G4,Amazon PLCC Free-Financing Universal Merchant AAT-BELFIPXD6ZYKQ,Amazon PLCC Free-Financing Universal Merchant AAT-245RAKTELFNCQ,Amazon PLCC Free-Financing Universal Merchant AAT-OOWAM6ZS4EDSA,Amazon PLCC Free-Financing Universal Merchant AAT-2P66LXH3SOBBA	false			Easy Ship	false
407-8262243-5540325	407-8262243-5540325	2019-11-30T17:10:26+00:00	2019-12-01T04:42:42+00:00	Shipped	Amazon	Amazon.in			Expedited	Pashmoda- Women's Black Faux Pashmina Wool Kashmiri Design Shawl, Jacquard (Black)	RS-S-01-BLACK	B07TVFFPRB	Shipped	1	INR	895.0								RAJPURA	PUNJAB	140401	IN		false				false
407-7616056-2771533	407-7616056-2771533	2019-11-30T16:09:50+00:00	2019-12-01T07:22:29+00:00	Shipped	Amazon	Amazon.in			Standard	Pashmoda- Women's Kaani Wool Shawl, Luxury Pashmina Shawls, Stoles & Wraps (Light Pashmina Colour)	RS-S-04-BEIGE	B07TLHF1DP	Shipped	1	INR	2145.0		40.0					40.0	KASHIPUR	UTTARAKHAND	244713	IN	IN Core Free Shipping 2015/04/08 23-48-5-108	false				false
402-8863211-5161148	402-8863211-5161148	2019-11-30T12:30:27+00:00	2019-12-01T09:20:31+00:00	Shipped	Amazon	Amazon.in			Expedited	Pashmoda- Women's Kaani Paisley and Floral Stole, Kashmiri Design Blended Wool Scarves, Stoles (Yellow)	SEC-ST-06-YELLOW	B07V1W52JG	Shipped	1	INR	1795.0								JAIPUR	RAJASTHAN	302015	IN		false				false
405-9268735-5351510	405-9268735-5351510	2019-11-30T10:49:10+00:00	2019-12-01T09:31:49+00:00	Shipped	Amazon	Amazon.in			Standard	Pashmoda- Women's Black Faux Pashmina Wool Kashmiri Design Shawl, Jacquard (Black)	RS-S-01-BLACK	B07TVFFPRB	Shipped	1	INR	895.0								MUMBAI	MAHARASHTRA	400065	IN		false				false
404-6926753-4080340	404-6926753-4080340	2019-11-30T09:27:50+00:00	2019-11-30T12:54:26+00:00	Shipped	Amazon	Amazon.in			Standard	Pashmoda- Women's Kaani Pashmina Wool Shawl, Warm and Smooth Texture, Luxury Kashmiri Shawls, Stoles & Wraps (Black)	RS-S-04-BLACK	B07TWX85LG	Shipped	1	INR	2145.0		40.0					40.0	RANCHI	JHARKHAND	834009	IN	IN Core Free Shipping 2015/04/08 23-48-5-108	false				false
403-7599309-5745964	403-7599309-5745964	2019-11-30T09:02:04+00:00	2019-11-30T16:22:28+00:00	Shipped	Amazon	Amazon.in			Expedited	Pashmoda- Women's Kaani Pashmina Wool Shawl, Warm and Smooth Texture, Luxury Kashmiri Shawls, Stoles & Wraps (Black)	RS-S-04-BLACK	B07TWX85LG	Shipped	1	INR	2145.0								NORTH DELHI	DELHI	110085	IN		false				false
407-3132856-2910708	407-3132856-2910708	2019-11-30T08:20:41+00:00	2019-11-30T12:36:53+00:00	Shipped	Amazon	Amazon.in			Standard	Pashmoda- Women's Kaani Wool Shawl, Luxury Pashmina Shawls, Stoles & Wraps (Light Pashmina Colour)	RS-S-04-BEIGE	B07TLHF1DP	Shipped	1	INR	2145.0		40.0					40.0	DASUYA	PUNJAB	144205	IN	IN Core Free Shipping 2015/04/08 23-48-5-108	false				false
402-3354268-0356331	402-3354268-0356331	2019-11-30T04:57:22+00:00	2019-11-30T12:13:03+00:00	Shipped	Amazon	Amazon.in			Standard	Pashmoda- Women's Kaani Wool Shawl, Luxury Pashmina Shawls, Stoles & Wraps (Light Pashmina Colour)	RS-S-04-BEIGE	B07TLHF1DP	Shipped	1	INR	2145.0		40.0					40.0	NARSIMHAPUR	MADHYA PRADESH	487001	IN	IN Core Free Shipping 2015/04/08 23-48-5-108	false				false
404-0927308-4793954	404-0927308-4793954	2019-11-30T04:34:02+00:00	2019-12-03T06:06:06+00:00	Shipped	Amazon	Amazon.in			Standard	Pashmoda- Women's Black Faux Pashmina Wool Kashmiri Design Shawl, Jacquard (Black)	RS-S-01-BLACK	B07TVFFPRB	Shipped	1	INR	895.0		10.0					10.0	Bengaluru	KARNATAKA	560043	IN	IN Core Free Shipping 2015/04/08 23-48-5-108	false				false
407-0176345-4327573		2019-11-30T01:27:31+00:00	2019-12-04T04:59:29+00:00	Shipped - Delivered to Buyer	Merchant	Amazon.in			Standard	Pashmoda Women's Wool Heavy Embroidery Jaal Luxury Australian Merino Stole (self, Beige)	SEC-ST-04-BEIGE	B07TZKDTXH	Shipped	1	INR	2495.0	267.32							NAYAGARH	ODISHA	752069	IN	Amazon PLCC Free-Financing Universal Merchant AAT-U25UE4NDXS7G4,Amazon PLCC Free-Financing Universal Merchant AAT-BELFIPXD6ZYKQ,Amazon PLCC Free-Financing Universal Merchant AAT-245RAKTELFNCQ,Amazon PLCC Free-Financing Universal Merchant AAT-OOWAM6ZS4EDSA,Amazon PLCC Free-Financing Universal Merchant AAT-2P66LXH3SOBBA	false			Easy Ship	false
