amazon-order-id	merchant-order-id	purchase-date	last-updated-date	order-status	fulfillment-channel	sales-channel	order-channel	url	ship-service-level	product-name	sku	asin	item-status	quantity	currency	item-price	item-tax	shipping-price	shipping-tax	gift-wrap-price	gift-wrap-tax	item-promotion-discount	ship-promotion-discount	ship-city	ship-state	ship-postal-code	ship-country	promotion-ids	is-business-order	purchase-order-number	price-designation	fulfilled-by	is-sold-by-ab 
404-1167083-9755520	404-1167083-9755520	2019-10-31T17:11:26+00:00	2019-11-01T08:22:03+00:00	Shipped	Amazon	Amazon.in			Standard	Pashmoda Women's Wool Stole with Heavy Embroidery Jaal (Beige, Free Size)	SEC-ST-07-BEIGE	B07V1HNNHP	Shipped	1	INR	2195.0								CHENNAI	TAMIL NADU	600023	IN		false				false
404-1892845-2629110		2019-10-31T10:56:36+00:00	2019-11-05T03:24:39+00:00	Shipped - Delivered to Buyer	Merchant	Amazon.in			Standard	Pashmoda- Women's Black Faux Pashmina Wool Kashmiri Design Shawl, Jacquard (Black)	BP-STAS-9Y8E	B07TVFFPRB	Shipped	1	INR	895.0	42.62	55.0	2.62					NEW DELHI	DELHI	110009	IN	Amazon PLCC Free-Financing Universal Merchant AAT-6SGQCIFNY4262,Amazon PLCC Free-Financing Universal Merchant AAT-RFYOEHHFE4VZ4,Amazon PLCC Free-Financing Universal Merchant #MP-pmilan-1567764681414,Amazon PLCC Free-Financing Universal Merchant AAT-HECTLLGRBCQHW,Amazon PLCC Free-Financing Universal Merchant AAT-57WUTIBRDD2G6,Amazon PLCC Free-Financing Universal Merchant AAT-I3IDQCEAZSNBQ,Amazon PLCC Free-Financing Universal Merchant AAT-U25UE4NDXS7G4,Amazon PLCC Free-Financing Universal Merchant AAT-BELFIPXD6ZYKQ	false			Easy Ship	false
408-2477144-6358765		2019-10-31T09:56:38+00:00	2019-11-06T04:45:18+00:00	Shipped - Delivered to Buyer	Merchant	Amazon.in			Standard	Pashmoda- Women's Kaani Wool Shawl, Luxury Pashmina Shawls, Stoles & Wraps (Light Pashmina Colour)	RS-S-04-BEIGE	B07TLHF1DP	Shipped	1	INR	1995.0	213.75							BERHAMPORE	WEST BENGAL	742101	IN	Amazon PLCC Free-Financing Universal Merchant AAT-6SGQCIFNY4262,Amazon PLCC Free-Financing Universal Merchant AAT-RFYOEHHFE4VZ4,Amazon PLCC Free-Financing Universal Merchant AAT-HECTLLGRBCQHW,Amazon PLCC Free-Financing Universal Merchant AAT-57WUTIBRDD2G6,Amazon PLCC Free-Financing Universal Merchant AAT-I3IDQCEAZSNBQ,Amazon PLCC Free-Financing Universal Merchant AAT-U25UE4NDXS7G4,Amazon PLCC Free-Financing Universal Merchant AAT-BELFIPXD6ZYKQ	false			Easy Ship	false
171-1590201-9330756		2019-10-31T08:46:30+00:00	2019-11-03T06:56:12+00:00	Shipped - Delivered to Buyer	Merchant	Amazon.in			Standard	Pashmoda- Women's Kaani Wool Shawl, Luxury Pashmina Shawls, Stoles & Wraps (Light Pashmina Colour)	RS-S-04-BEIGE	B07TLHF1DP	Shipped	1	INR	1995.0	213.75							PANCHKULA	HARYANA	134112	IN	Amazon PLCC Free-Financing Universal Merchant AAT-6SGQCIFNY4262,Amazon PLCC Free-Financing Universal Merchant AAT-RFYOEHHFE4VZ4,Amazon PLCC Free-Financing Universal Merchant #MP-pmilan-1567764681414,Amazon PLCC Free-Financing Universal Merchant AAT-HECTLLGRBCQHW,Amazon PLCC Free-Financing Universal Merchant AAT-57WUTIBRDD2G6,Amazon PLCC Free-Financing Universal Merchant AAT-I3IDQCEAZSNBQ,Amazon PLCC Free-Financing Universal Merchant AAT-U25UE4NDXS7G4,Amazon PLCC Free-Financing Universal Merchant AAT-BELFIPXD6ZYKQ	false			Easy Ship	false
405-2750537-6180336		2019-10-31T07:16:10+00:00	2019-11-03T05:22:17+00:00	Shipped - Delivered to Buyer	Merchant	Amazon.in			Standard	Pashmoda- Women's Kaani Wool Shawl, Luxury Pashmina Shawls, Stoles & Wraps (Light Pashmina Colour)	RS-S-04-BEIGE	B07TLHF1DP	Shipped	1	INR	1995.0	213.75							DEHRADUN	UTTARAKHAND	248001	IN	Amazon PLCC Free-Financing Universal Merchant AAT-6SGQCIFNY4262,Amazon PLCC Free-Financing Universal Merchant AAT-RFYOEHHFE4VZ4,Amazon PLCC Free-Financing Universal Merchant AAT-HECTLLGRBCQHW,Amazon PLCC Free-Financing Universal Merchant AAT-57WUTIBRDD2G6,Amazon PLCC Free-Financing Universal Merchant AAT-I3IDQCEAZSNBQ,Amazon PLCC Free-Financing Universal Merchant AAT-U25UE4NDXS7G4,Amazon PLCC Free-Financing Universal Merchant AAT-BELFIPXD6ZYKQ	false			Easy Ship	false
407-3864928-7216310	407-3864928-7216310	2019-10-31T07:01:43+00:00	2019-10-31T11:07:42+00:00	Shipped	Amazon	Amazon.in			Standard	Pashmoda- Women's Kaani Pashmina Wool Shawl, Warm and Smooth Texture, Luxury Kashmiri Shawls, Stoles & Wraps (Black)	CG-4IF4-FZD7	B07TWX85LG	Shipped	1	INR	1995.0		40.0					40.0	BELGAUM	KARNATAKA	590011	IN	IN Core Free Shipping 2015/04/08 23-48-5-108	false				false
407-0664477-9905920		2019-10-31T05:24:00+00:00	2019-11-07T13:38:54+00:00	Shipped - Delivered to Buyer	Merchant	Amazon.in			Standard	Pashmoda Women's 100% Pure Wool Kashmiri Jamawar Woven Stole, Luxury Shawls and Stoles, Certified by The Woolmark Company (Size: 28x80 Inches)	IS-ST-07-LIGHT	B07ZKJZF39	Shipped	1	INR	1995.0	213.75							MOKOKCHUNG	NAGALAND	798601	IN	Amazon PLCC Free-Financing Universal Merchant AAT-6SGQCIFNY4262,Amazon PLCC Free-Financing Universal Merchant AAT-RFYOEHHFE4VZ4,Amazon PLCC Free-Financing Universal Merchant #MP-pmilan-1567764681414,Amazon PLCC Free-Financing Universal Merchant AAT-HECTLLGRBCQHW,Amazon PLCC Free-Financing Universal Merchant AAT-57WUTIBRDD2G6,Amazon PLCC Free-Financing Universal Merchant AAT-I3IDQCEAZSNBQ,Amazon PLCC Free-Financing Universal Merchant AAT-U25UE4NDXS7G4,Amazon PLCC Free-Financing Universal Merchant AAT-BELFIPXD6ZYKQ	false			Easy Ship	false
407-0664477-9905920		2019-10-31T05:24:00+00:00	2019-11-07T13:38:54+00:00	Shipped - Delivered to Buyer	Merchant	Amazon.in			Standard	Pashmoda Women's Wool Heavy Embroidery Jaal Luxury Australian Merino Stole (self, Beige)	SEC-ST-04-BEIGE	B07TZKDTXH	Shipped	1	INR	2495.0	267.32							MOKOKCHUNG	NAGALAND	798601	IN	Amazon PLCC Free-Financing Universal Merchant AAT-6SGQCIFNY4262,Amazon PLCC Free-Financing Universal Merchant AAT-RFYOEHHFE4VZ4,Amazon PLCC Free-Financing Universal Merchant #MP-pmilan-1567764681414,Amazon PLCC Free-Financing Universal Merchant AAT-HECTLLGRBCQHW,Amazon PLCC Free-Financing Universal Merchant AAT-57WUTIBRDD2G6,Amazon PLCC Free-Financing Universal Merchant AAT-I3IDQCEAZSNBQ,Amazon PLCC Free-Financing Universal Merchant AAT-U25UE4NDXS7G4,Amazon PLCC Free-Financing Universal Merchant AAT-BELFIPXD6ZYKQ	false			Easy Ship	false
407-0664477-9905920		2019-10-31T05:24:00+00:00	2019-11-07T13:38:54+00:00	Shipped - Delivered to Buyer	Merchant	Amazon.in			Standard	Pashmoda- Women's Kaani Paisley and Floral Stole, Kashmiri Design Blended Wool Scarves, Stoles (Brown)	RS-ST-05-BROWN	B07V1GYBQ3	Shipped	1	INR	1445.0	154.82							MOKOKCHUNG	NAGALAND	798601	IN	Amazon PLCC Free-Financing Universal Merchant AAT-6SGQCIFNY4262,Amazon PLCC Free-Financing Universal Merchant AAT-RFYOEHHFE4VZ4,Amazon PLCC Free-Financing Universal Merchant #MP-pmilan-1567764681414,Amazon PLCC Free-Financing Universal Merchant AAT-HECTLLGRBCQHW,Amazon PLCC Free-Financing Universal Merchant AAT-57WUTIBRDD2G6,Amazon PLCC Free-Financing Universal Merchant AAT-I3IDQCEAZSNBQ,Amazon PLCC Free-Financing Universal Merchant AAT-U25UE4NDXS7G4,Amazon PLCC Free-Financing Universal Merchant AAT-BELFIPXD6ZYKQ	false			Easy Ship	false
407-0664477-9905920		2019-10-31T05:24:00+00:00	2019-11-07T13:38:54+00:00	Shipped - Delivered to Buyer	Merchant	Amazon.in			Standard	Pashmoda- Women's 100% Pure Wool Kaani Weave Stole, Paisley Jaal Design Kashmiri Shawls, Stoles & Wraps (Grey and Taupe)	RS-S-09-GREY	B07V7G2HTV	Shipped	1	INR	3995.0	428.04							MOKOKCHUNG	NAGALAND	798601	IN	Amazon PLCC Free-Financing Universal Merchant AAT-6SGQCIFNY4262,Amazon PLCC Free-Financing Universal Merchant AAT-RFYOEHHFE4VZ4,Amazon PLCC Free-Financing Universal Merchant #MP-pmilan-1567764681414,Amazon PLCC Free-Financing Universal Merchant AAT-HECTLLGRBCQHW,Amazon PLCC Free-Financing Universal Merchant AAT-57WUTIBRDD2G6,Amazon PLCC Free-Financing Universal Merchant AAT-I3IDQCEAZSNBQ,Amazon PLCC Free-Financing Universal Merchant AAT-U25UE4NDXS7G4,Amazon PLCC Free-Financing Universal Merchant AAT-BELFIPXD6ZYKQ	false			Easy Ship	false
