amazon-order-id	merchant-order-id	purchase-date	last-updated-date	order-status	fulfillment-channel	sales-channel	order-channel	url	ship-service-level	product-name	sku	asin	item-status	quantity	currency	item-price	item-tax	shipping-price	shipping-tax	gift-wrap-price	gift-wrap-tax	item-promotion-discount	ship-promotion-discount	ship-city	ship-state	ship-postal-code	ship-country	promotion-ids	is-business-order	purchase-order-number	price-designation	fulfilled-by	is-sold-by-ab 
171-9595236-3237159		2019-09-30T17:02:10+00:00	2019-10-01T13:21:19+00:00	Shipped	Merchant	Amazon.in			Expedited	Pashmoda- Fine Cashmere Wool Scarf with Self Embellished Paisley Pattern, Blended Pashmina Wool Scarf, Stole	self_stole_6	B07TZHC4WZ	Shipped	1	INR	845.0	40.24							BENGALURU	KARNATAKA	560087	IN	Amazon PLCC Free-Financing Universal Merchant AAT-6SGQCIFNY4262,Amazon PLCC Free-Financing Universal Merchant AAT-RFYOEHHFE4VZ4,Amazon PLCC Free-Financing Universal Merchant AAT-I7ZJICAI3ENQ6,Amazon PLCC Free-Financing Universal Merchant AAT-FSI5UASOFLLHM,Amazon PLCC Free-Financing Universal Merchant #MP-pmilan-1567764681414,Amazon PLCC Free-Financing Universal Merchant AAT-I3RO4OIRAWMAE,Amazon PLCC Free-Financing Universal Merchant AAT-G3Y3CGYXGZFOU,Amazon PLCC Free-Financing Universal Merchant AAT-ZCSCMK6WZCMLW,Amazon PLCC Free-Financing Universal Merchant AAT-6P3BHD7YRJSEM,Amazon PLCC Free-Financing Universal Merchant AAT-57M5BEA72EYBW,Amazon PLCC Free-Financing Universal Merchant AAT-ANC3NAQHJQRG4,Amazon PLCC Free-Financing Universal Merchant AAT-DNKXKHEZ747PA,Amazon PLCC Free-Financing Universal Merchant AAT-Y2LSO3M2WRTS4	false				false
407-7241760-5497102		2019-09-30T16:21:30+00:00	2019-10-06T06:16:00+00:00	Shipped - Delivered to Buyer	Merchant	Amazon.in			Standard	Pashmoda- Women's Kaani Wool Stole, Luxury Pashmina Shawls, Stoles & Wraps (SIZE: 28x80 Inches) (Beige Colour)	S0-MZBC-NAW7	B07TPTYH6H	Shipped	1	INR	1595.0	170.89							NAGPUR	MAHARASHTRA	440006	IN	Amazon PLCC Free-Financing Universal Merchant AAT-6SGQCIFNY4262,Amazon PLCC Free-Financing Universal Merchant AAT-RFYOEHHFE4VZ4,Amazon PLCC Free-Financing Universal Merchant AAT-I7ZJICAI3ENQ6,Amazon PLCC Free-Financing Universal Merchant AAT-FSI5UASOFLLHM,Amazon PLCC Free-Financing Universal Merchant #MP-pmilan-1567764681414,Amazon PLCC Free-Financing Universal Merchant AAT-I3RO4OIRAWMAE,Amazon PLCC Free-Financing Universal Merchant AAT-G3Y3CGYXGZFOU,Amazon PLCC Free-Financing Universal Merchant AAT-ZCSCMK6WZCMLW,Amazon PLCC Free-Financing Universal Merchant AAT-6P3BHD7YRJSEM,Amazon PLCC Free-Financing Universal Merchant AAT-57M5BEA72EYBW,Amazon PLCC Free-Financing Universal Merchant AAT-ANC3NAQHJQRG4,Amazon PLCC Free-Financing Universal Merchant AAT-DNKXKHEZ747PA,Amazon PLCC Free-Financing Universal Merchant AAT-Y2LSO3M2WRTS4	false			Easy Ship	false
403-4335361-7250768	403-4335361-7250768	2019-09-30T15:22:59+00:00	2019-10-02T07:32:38+00:00	Shipped	Amazon	Amazon.in			Standard	Pashmoda- Women's Black Faux Pashmina Wool Kashmiri Design Shawl, Jacquard (Black)	BP-STAS-9Y8E	B07TVFFPRB	Shipped	1	INR	895.0		40.0					40.0	VISAKHAPATNAM	ANDHRA PRADESH	530014	IN	IN Core Free Shipping 2015/04/08 23-48-5-108	false				false
405-0365767-3046741		2019-09-30T14:09:46+00:00	2019-10-07T06:15:28+00:00	Shipped - Delivered to Buyer	Merchant	Amazon.in			Standard	Pashmoda Women's Wool Heavy Embroidery Jaal Luxury Australian Merino Stole (self, Beige)	pw_aari_stole_1	B07TZKDTXH	Shipped	1	INR	2495.0	267.32							IMPHAL	MANIPUR	795003	IN	Amazon PLCC Free-Financing Universal Merchant AAT-6SGQCIFNY4262,Amazon PLCC Free-Financing Universal Merchant AAT-RFYOEHHFE4VZ4,Amazon PLCC Free-Financing Universal Merchant AAT-I7ZJICAI3ENQ6,Amazon PLCC Free-Financing Universal Merchant AAT-FSI5UASOFLLHM,Amazon PLCC Free-Financing Universal Merchant AAT-I3RO4OIRAWMAE,Amazon PLCC Free-Financing Universal Merchant AAT-G3Y3CGYXGZFOU,Amazon PLCC Free-Financing Universal Merchant AAT-ZCSCMK6WZCMLW,Amazon PLCC Free-Financing Universal Merchant AAT-6P3BHD7YRJSEM,Amazon PLCC Free-Financing Universal Merchant AAT-57M5BEA72EYBW,Amazon PLCC Free-Financing Universal Merchant AAT-ANC3NAQHJQRG4,Amazon PLCC Free-Financing Universal Merchant AAT-DNKXKHEZ747PA,Amazon PLCC Free-Financing Universal Merchant AAT-Y2LSO3M2WRTS4	false			Easy Ship	false
S02-1989540-4263505	190930IJT	2019-09-30T13:40:50+00:00	2019-10-11T03:13:15+00:00	Shipped	Amazon	Non-Amazon			Standard	Pashmoda- Women's Faux Pashmina Wool Kashmiri Design Shawl, Warm and Soft, Jacquard Palla (Dark Brown)	YH-G92V-7GB6	B07TNNTC93	Unshipped	1										Ludhiana	Punjab	141008	IN		false				false
404-8799805-1275534		2019-09-30T08:51:52+00:00	2019-10-05T02:40:43+00:00	Shipped - Delivered to Buyer	Merchant	Amazon.in			Standard	Pashmoda- Women's Kaani 100% Pure Wool Stole, Luxury Paisley Design Kashmiri Shawls, Stoles & Wraps (Navy Blue)	KK-JAJP-IZTT	B07TXKNG4W	Shipped	1	INR	2695.0	288.75							THANE	MAHARASHTRA	401107	IN	Amazon PLCC Free-Financing Universal Merchant AAT-6SGQCIFNY4262,Amazon PLCC Free-Financing Universal Merchant AAT-RFYOEHHFE4VZ4,Amazon PLCC Free-Financing Universal Merchant AAT-I7ZJICAI3ENQ6,Amazon PLCC Free-Financing Universal Merchant AAT-FSI5UASOFLLHM,Amazon PLCC Free-Financing Universal Merchant #MP-pmilan-1567764681414,Amazon PLCC Free-Financing Universal Merchant AAT-I3RO4OIRAWMAE,Amazon PLCC Free-Financing Universal Merchant AAT-G3Y3CGYXGZFOU,Amazon PLCC Free-Financing Universal Merchant AAT-ZCSCMK6WZCMLW,Amazon PLCC Free-Financing Universal Merchant AAT-6P3BHD7YRJSEM,Amazon PLCC Free-Financing Universal Merchant AAT-57M5BEA72EYBW,Amazon PLCC Free-Financing Universal Merchant AAT-ANC3NAQHJQRG4,Amazon PLCC Free-Financing Universal Merchant AAT-DNKXKHEZ747PA,Amazon PLCC Free-Financing Universal Merchant AAT-Y2LSO3M2WRTS4	false			Easy Ship	false
405-9567395-8329929		2019-09-30T07:37:32+00:00	2019-10-06T07:50:31+00:00	Shipped - Delivered to Buyer	Merchant	Amazon.in			Standard	Pashmoda Women's Aari Embroidered Wool Blend Kashmiri Shawls || Women Stole (40x80 Inches)	ERS_S_04-Multi02	B07XN46V21	Shipped	1	INR	1795.0	192.32							ITANAGAR	ARUNACHAL PRADESH	791111	IN	Amazon PLCC Free-Financing Universal Merchant AAT-6SGQCIFNY4262,Amazon PLCC Free-Financing Universal Merchant AAT-RFYOEHHFE4VZ4,Amazon PLCC Free-Financing Universal Merchant AAT-I7ZJICAI3ENQ6,Amazon PLCC Free-Financing Universal Merchant AAT-FSI5UASOFLLHM,Amazon PLCC Free-Financing Universal Merchant #MP-pmilan-1567764681414,Amazon PLCC Free-Financing Universal Merchant AAT-I3RO4OIRAWMAE,Amazon PLCC Free-Financing Universal Merchant AAT-G3Y3CGYXGZFOU,Amazon PLCC Free-Financing Universal Merchant AAT-ZCSCMK6WZCMLW,Amazon PLCC Free-Financing Universal Merchant AAT-6P3BHD7YRJSEM,Amazon PLCC Free-Financing Universal Merchant AAT-57M5BEA72EYBW,Amazon PLCC Free-Financing Universal Merchant AAT-ANC3NAQHJQRG4,Amazon PLCC Free-Financing Universal Merchant AAT-DNKXKHEZ747PA,Amazon PLCC Free-Financing Universal Merchant AAT-Y2LSO3M2WRTS4	false			Easy Ship	false
402-8674289-0453954	402-8674289-0453954	2019-09-30T05:48:10+00:00	2019-09-30T18:10:10+00:00	Cancelled	Amazon	Amazon.in			Standard	Pashmoda- Women's Red Faux Pashmina Wool Kashmiri Design Shawl, Warm and Soft, Jacquard Palla (Apple Red)	7H-D14Q-4SVA	B07TVFDGZB	Cancelled	0										GHAZIABAD	UTTAR PRADESH	201014	IN		false				false
408-7968165-9673116	408-7968165-9673116	2019-09-29T19:56:53+00:00	2019-10-03T13:56:00+00:00	Shipped	Amazon	Amazon.in			Standard	Pashmoda- Women's Kaani Wool Shawl, Luxury Pashmina Shawls, Stoles & Wraps (Light Pashmina Colour)	W4-W3ZW-PLRR	B07TLHF1DP	Shipped	1	INR	1995.0		1.82					1.82	NOIDA	UTTAR PRADESH	201301	IN	IN Core Free Shipping 2015/04/08 23-48-5-108	false				false
408-8552776-7037931		2019-09-29T09:00:37+00:00	2019-10-06T07:47:23+00:00	Shipped - Delivered to Buyer	Merchant	Amazon.in			Standard	Pashmoda- Women's Kaani Wool Shawl, Luxury Pashmina Shawls, Stoles & Wraps (Pink)	CY-G3AR-IY5C	B07TNQJ2F1	Shipped	1	INR	2195.0	235.18							IMPHAL	MANIPUR	795001	IN	Amazon PLCC Free-Financing Universal Merchant AAT-6SGQCIFNY4262,Amazon PLCC Free-Financing Universal Merchant AAT-RFYOEHHFE4VZ4,Amazon PLCC Free-Financing Universal Merchant AAT-I7ZJICAI3ENQ6,Amazon PLCC Free-Financing Universal Merchant AAT-FSI5UASOFLLHM,Amazon PLCC Free-Financing Universal Merchant AAT-I3RO4OIRAWMAE,Amazon PLCC Free-Financing Universal Merchant AAT-G3Y3CGYXGZFOU,Amazon PLCC Free-Financing Universal Merchant AAT-ZCSCMK6WZCMLW,Amazon PLCC Free-Financing Universal Merchant AAT-6P3BHD7YRJSEM,Amazon PLCC Free-Financing Universal Merchant AAT-57M5BEA72EYBW,Amazon PLCC Free-Financing Universal Merchant AAT-ANC3NAQHJQRG4,Amazon PLCC Free-Financing Universal Merchant AAT-DNKXKHEZ747PA,Amazon PLCC Free-Financing Universal Merchant AAT-Y2LSO3M2WRTS4	false			Easy Ship	false
